구분,차수,온도
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.5
구간 전체,2차,-6.5
구간 전체,2차,-6.5
구간 전체,2차,-6.5
구간 전체,2차,-6.5
구간 전체,2차,-6.3
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-6.1
구간 전체,2차,-6.3
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-6.8
구간 전체,2차,-6.7
구간 전체,2차,-6.4
구간 전체,2차,-6.5
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.4
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.3
구간 전체,2차,-6.1
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.1
구간 전체,2차,-6.1
구간 전체,2차,-6
구간 전체,2차,-6.1
구간 전체,2차,-6.1
구간 전체,2차,-6.1
구간 전체,2차,-6.4
구간 전체,2차,-6.5
구간 전체,2차,-6.4
구간 전체,2차,-6.3
구간 전체,2차,-6.4
구간 전체,2차,-6.3
구간 전체,2차,-6.4
구간 전체,2차,-6.3
구간 전체,2차,-6.3
구간 전체,2차,-6.3
구간 전체,2차,-5.9
구간 전체,2차,-6.2
구간 전체,2차,-5.8
구간 전체,2차,-5.9
구간 전체,2차,-5.8
구간 전체,2차,-5.8
구간 전체,2차,-6.2
구간 전체,2차,-5.9
구간 전체,2차,-6.2
구간 전체,2차,-6.1
구간 전체,2차,-5.8
구간 전체,2차,-6
구간 전체,2차,-6.3
구간 전체,2차,-6.1
구간 전체,2차,-5.9
구간 전체,2차,-5.8
구간 전체,2차,-5.8
구간 전체,2차,-5.8
구간 전체,2차,-5.9
구간 전체,2차,-5.9
구간 전체,2차,-5.8
구간 전체,2차,-5.7
구간 전체,2차,-5.8
구간 전체,2차,-5.9
구간 전체,2차,-6.2
구간 전체,2차,-5.9
구간 전체,2차,-6.4
구간 전체,2차,-6.3
구간 전체,2차,-5.8
구간 전체,2차,-6
구간 전체,2차,-5.9
구간 전체,2차,-6
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.7
구간 전체,2차,-6.5
구간 전체,2차,-6.3
구간 전체,2차,-6.6
구간 전체,2차,-6.3
구간 전체,2차,-6.4
구간 전체,2차,-6.1
구간 전체,2차,-6.1
구간 전체,2차,-5.9
구간 전체,2차,-6.1
구간 전체,2차,-6.1
구간 전체,2차,-6
구간 전체,2차,-5.8
구간 전체,2차,-5.8
구간 전체,2차,-6
구간 전체,2차,-5.8
구간 전체,2차,-5.8
구간 전체,2차,-5.8
구간 전체,2차,-6.1
구간 전체,2차,-6
구간 전체,2차,-6
구간 전체,2차,-6.1
구간 전체,2차,-5.9
구간 전체,2차,-5.9
구간 전체,2차,-6.2
구간 전체,2차,-6
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.4
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.3
구간 전체,2차,-6.1
구간 전체,2차,-6.5
구간 전체,2차,-6.4
구간 전체,2차,-6.2
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-5.8
구간 전체,2차,-6.1
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-5.7
구간 전체,2차,-5.8
구간 전체,2차,-5.8
구간 전체,2차,-5.8
구간 전체,2차,-6.7
구간 전체,2차,-7.7
구간 전체,2차,-7.8
구간 전체,2차,-7.9
구간 전체,2차,-7.7
구간 전체,2차,-7.7
구간 전체,2차,-7.9
구간 전체,2차,-7.8
구간 전체,2차,-8.1
구간 전체,2차,-7.7
구간 전체,2차,-7.9
구간 전체,2차,-8
구간 전체,2차,-8.2
구간 전체,2차,-7.9
구간 전체,2차,-8
구간 전체,2차,-7.9
구간 전체,2차,-8.4
구간 전체,2차,-8.5
구간 전체,2차,-8.3
구간 전체,2차,-8.3
구간 전체,2차,-7.8
