기온,노면온도,humi_,시간,경도,위도
-1.5,-2.5,54.5,2024-01-24 17:50,127.1296688,34.7767897
-1.5,-3,54.5,2024-01-24 17:50,127.1297865,34.7769068
-1.5,-3,54.5,2024-01-24 17:50,127.1297865,34.7769068
-1.5,-3.1,54.5,2024-01-24 17:50,127.1299002,34.777022
-1.5,-3.4,54.5,2024-01-24 17:50,127.1299002,34.777022
-1.5,-3,54.5,2024-01-24 17:50,127.1300179,34.777139
-1.5,-3.1,54.5,2024-01-24 17:50,127.1300179,34.777139
-1.5,-3.1,54.5,2024-01-24 17:50,127.1301395,34.7772568
-1.5,-3.4,54.5,2024-01-24 17:50,127.1301395,34.7772568
-1.5,-3.3,54.5,2024-01-24 17:50,127.1302599,34.7773736
-1.5,-3.3,54.5,2024-01-24 17:50,127.1302599,34.7773736
-1.5,-3.5,54.5,2024-01-24 17:50,127.1303789,34.7774899
-1.6,-3.9,54.5,2024-01-24 17:50,127.1303789,34.7774899
-1.5,-3.8,54.5,2024-01-24 17:50,127.1304979,34.7776047
-1.5,-3.6,54.5,2024-01-24 17:50,127.1304979,34.7776047
-1.5,-3.1,54.5,2024-01-24 17:50,127.1306169,34.7777204
-1.5,-3,54.5,2024-01-24 17:50,127.1306169,34.7777204
-1.5,-2.9,54.6,2024-01-24 17:50,127.1307346,34.7778371
-1.5,-2.6,54.6,2024-01-24 17:50,127.1307346,34.7778371
-1.5,-2.5,54.6,2024-01-24 17:50,127.1308537,34.7779548
-1.5,-2.4,54.6,2024-01-24 17:50,127.1308537,34.7779548
-1.5,-2.3,54.6,2024-01-24 17:50,127.1309759,34.778071
-1.5,-2.3,54.6,2024-01-24 17:50,127.1309759,34.778071
